,Gender,Age Group,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
0,Female,26-35,Single,Maharashtra,Western,Healthcare,Others,1,23952
1,Female,26-35,Married,Andhra Pradesh,Southern,Govt,Others,3,23934
2,Female,26-35,Married,Uttar Pradesh,Central,Others,Others,3,23924
3,Male,0-17,Single,Karnataka,Southern,Others,Others,2,23912
4,Male,26-35,Married,Gujarat,Western,Others,Others,2,23877
5,Male,26-35,Married,Himachal Pradesh,Northern,Others,Others,1,23877
6,Female,18-25,Married,Uttar Pradesh,Central,Others,Others,4,23841
8,Male,26-35,Single,Uttar Pradesh,Central,Govt,Others,2,23809
9,Female,26-35,Married,Andhra Pradesh,Southern,Media,Others,4,23799
10,Male,26-35,Single,Delhi,Central,Banking,Others,1,23770
11,Female,18-25,Single,Andhra Pradesh,Southern,Others,Others,2,23752
12,Female,18-25,Married,Andhra Pradesh,Southern,IT Sector,Others,2,23730
13,Male,26-35,Married,Andhra Pradesh,Southern,Others,Others,4,23718
15,Female,18-25,Single,Andhra Pradesh,Southern,Govt,Others,2,23664
17,Female,26-35,Single,Andhra Pradesh,Southern,Aviation,Others,1,23619
18,Male,51-55,Married,Uttar Pradesh,Central,Hospitality,Others,1,23568
19,Male,51-55,Married,Uttar Pradesh,Central,Hospitality,Others,1,23568
20,Female,18-25,Married,Andhra Pradesh,Southern,Govt,Others,4,23546
21,Female,46-50,Married,Uttar Pradesh,Central,Banking,Others,2,23525
22,Female,26-35,Single,Andhra Pradesh,Southern,IT Sector,Others,1,23518
23,Female,51-55,Single,Uttar Pradesh,Central,Others,Others,2,23515
24,Male,55+,Single,Karnataka,Southern,Others,Others,3,23513
25,Female,26-35,Single,Andhra Pradesh,Southern,IT Sector,Others,3,23462
26,Female,36-45,Single,Uttar Pradesh,Central,Banking,Others,3,23456
27,Female,18-25,Married,Andhra Pradesh,Southern,Banking,Others,4,23451
28,Male,51-55,Married,Andhra Pradesh,Southern,Govt,Others,2,23434
29,Female,36-45,Married,Andhra Pradesh,Southern,Aviation,Others,3,23389
30,Female,18-25,Single,Andhra Pradesh,Southern,Aviation,Others,2,23365
31,Female,26-35,Married,Andhra Pradesh,Southern,Others,Others,3,23326
32,Female,36-45,Single,Andhra Pradesh,Southern,Others,Others,2,23314
33,Female,26-35,Married,Maharashtra,Western,Media,Others,2,23306
34,Female,51-55,Married,Andhra Pradesh,Southern,Healthcare,Others,4,23302
35,Male,26-35,Married,Jharkhand,Eastern,Govt,Others,1,23285
36,Male,18-25,Married,Delhi,Central,Media,Others,1,23281
37,Female,26-35,Single,Andhra Pradesh,Southern,Aviation,Others,1,23270
38,Male,55+,Married,Himachal Pradesh,Northern,Media,Others,4,23267
39,Female,18-25,Married,Andhra Pradesh,Southern,Banking,Others,4,23252
40,Male,26-35,Single,Kerala,Southern,Aviation,Others,1,23247
41,Male,26-35,Married,Uttar Pradesh,Central,Banking,Others,2,23246
42,Male,0-17,Single,Andhra Pradesh,Southern,Others,Others,4,23239
43,Female,36-45,Single,Andhra Pradesh,Southern,Aviation,Others,2,23201
44,Female,26-35,Married,Andhra Pradesh,Southern,Aviation,Others,2,23185
45,Male,36-45,Married,Andhra Pradesh,Southern,Others,Others,3,23160
46,Female,26-35,Single,Andhra Pradesh,Southern,Banking,Others,1,23154
47,Male,26-35,Married,Delhi,Central,Others,Others,3,23103
48,Female,26-35,Single,Andhra Pradesh,Southern,Others,Others,4,23066
49,Female,51-55,Single,Andhra Pradesh,Southern,IT Sector,Others,2,23053
50,Female,36-45,Married,Andhra Pradesh,Southern,IT Sector,Others,3,23047
51,Male,26-35,Single,Haryana,Northern,IT Sector,Others,2,21563
52,Female,46-50,Single,Delhi,Central,Others,Others,1,21547
53,Female,26-35,Single,Delhi,Central,Others,Others,1,21533
54,Female,18-25,Married,Delhi,Central,Media,Others,1,21503
55,Male,26-35,Married,Karnataka,Southern,IT Sector,Others,2,21495
56,Female,26-35,Married,Delhi,Central,Others,Others,3,21463
57,Female,36-45,Single,Delhi,Central,IT Sector,Others,4,21427
58,Female,51-55,Single,Delhi,Central,IT Sector,Others,4,21423
59,Male,18-25,Married,Delhi,Central,Others,Others,2,21401
60,Male,36-45,Single,Maharashtra,Western,Healthcare,Others,3,21397
61,Male,26-35,Married,Delhi,Central,Others,Others,4,21388
62,Female,26-35,Single,Maharashtra,Western,Govt,Others,4,21325
63,Male,18-25,Single,Delhi,Central,Others,Others,2,21320
